timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614543661760,40,setBillingInfo,308,Permanent Redirect,JPetstore 1-9,text,true,,397,1268,20,20,http://petstore.octoperf.com/actions/Order.action,40,0,0
1614543662077,39,confirmOrder,308,Permanent Redirect,JPetstore 1-13,text,false,"Test failed: text expected to contain /Thank you, your order has been submitted\./",421,800,20,20,http://petstore.octoperf.com/actions/Order.action?newOrder&confirmed=true,39,0,0
1614543649698,155,AddToCart,,"Number of samples in transaction : 4, number of failing samples : 1",JPetstore 1-13,,false,,1658,3734,20,20,null,155,12262,0
1614543662124,40,viewCategory,308,Permanent Redirect,JPetstore 1-7,text,true,,428,809,20,20,http://petstore.octoperf.com/actions/Catalog.action?viewCategory&categoryId=DOGS,40,0,0
1614543658287,40,ViewCategory,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-7,,true,,428,809,20,20,null,40,3837,0
1614543662240,40,signOff,308,Permanent Redirect,JPetstore 1-8,text,true,,407,811,20,20,http://petstore.octoperf.com/actions/Account.action?signoff,40,0,0
1614543662291,34,setBillingInfo,308,Permanent Redirect,JPetstore 1-18,text,true,,397,1268,20,20,http://petstore.octoperf.com/actions/Order.action,34,0,0
1614543662366,38,viewCatalog,308,Permanent Redirect,JPetstore 1-8,text,true,,399,798,20,20,http://petstore.octoperf.com/actions/Catalog.action,38,0,0
1614543658816,78,LogOff,200,"Number of samples in transaction : 2, number of failing samples : 0",JPetstore 1-8,,true,,806,1609,20,20,null,78,3509,0
1614543662390,37,newOrderForm,308,Permanent Redirect,JPetstore 1-5,text,true,,410,823,20,20,http://petstore.octoperf.com/actions/Order.action?newOrderForm,37,0,0
1614543662405,76,homepage,308,Permanent Redirect,JPetstore 1-8,text,true,,399,550,20,20,http://petstore.octoperf.com/actions/Catalog.action,76,0,36
1614543662405,76,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",JPetstore 1-8,,true,,399,550,20,20,null,76,0,36
1614543662679,41,addItemToCart,308,Permanent Redirect,JPetstore 1-1,text,true,,430,843,20,20,http://petstore.octoperf.com/actions/Cart.action?addItemToCart&workingItemId=EST-6,41,0,0
